responden_id,timestamp,tanggal,bulan,jenis_kelamin,umur,status,provinsi,jam_mulai,jam_selesai,durasi_jam,pesan,saran
resp_0001,2026-02-04 16:44:46,2026-02-04,2026-02,Laki-Laki,15–64 tahun,Pelajar,Jawa Barat,6:00:00 PM,9:00:00 PM,3.0,Semoga kualitas singer vtuber bisa terus berkembang,lebih diatur lagi mixing nya
resp_0002,2026-02-04 17:12:05,2026-02-04,2026-02,Laki-Laki,15–64 tahun,Pelajar,DI Yogyakarta,8:00:00 PM,10:00:00 PM,2.0,no feedback dulu,adain pengenalan tiap karakter vtuber  di webnya yh
resp_0003,2026-02-05 22:34:46,2026-02-05,2026-02,Laki-Laki,15–64 tahun,Pelajar,Jawa Barat,3:30:00 PM,5:00:00 PM,1.5,Nice,GG
resp_0004,2026-06-18 17:11:20,2026-06-18,2026-06,Laki-Laki,15–64 tahun,Pelajar,Jawa Barat,8:00:00 PM,11:00:00 PM,3.0,"Oshi saya sering Guerilla Stream jadi gak tentu jam berapa, tapi ya seringnya stream malam dan diantara jam 20.00-00.00",
resp_0005,2026-06-18 20:17:11,2026-06-18,2026-06,Laki-Laki,15–64 tahun,Pekerja,Bali,8:30:00 PM,9:15:00 PM,0.75,Pecinta Vtuber Singer Bahasa Fiksi (Fictional Language),
resp_0006,2026-06-23 23:00:33,2026-06-23,2026-06,Laki-Laki,15–64 tahun,Pelajar,Sulawesi Selatan,3:00:00 PM,8:00:00 PM,5.0,Jangan lupa stream game yg gw request kemarin,
resp_0007,2026-06-23 23:02:15,2026-06-23,2026-06,Laki-Laki,15–64 tahun,Pekerja,Jawa Barat,7:00:00 PM,10:00:00 PM,3.0,HIDUP JOKOWI,BUBARKAN PRABOWO
resp_0008,2026-06-23 23:07:37,2026-06-23,2026-06,Laki-Laki,15–64 tahun,Pekerja,Jawa Tengah,5:00:00 PM,7:00:00 PM,2.0,semua bisa nyanyi intinya cari suara lo,
resp_0009,2026-06-23 23:09:33,2026-06-23,2026-06,Laki-Laki,0–14 tahun,Pelajar,Kalimantan Timur,12:00:00 AM,9:30:00 PM,21.5,ga ada sih,hehe
resp_0010,2026-06-23 23:18:53,2026-06-23,2026-06,Perempuan,15–64 tahun,Pekerja,Jawa Barat,7:00:00 PM,11:00:00 PM,4.0,Aku harap vtuber kesukaanku bisa bermain lebih banyak game horror karena dia lucu kalau teriak XD,Lebih banyak konten game juga selain cover lagu XD
resp_0011,2026-06-23 23:22:18,2026-06-23,2026-06,Perempuan,15–64 tahun,Pelajar,Jawa Barat,7:00:00 PM,9:00:00 PM,2.0,Salah satu alasan saya menonton Singer VTuber adalah karena mudah menemukan lagu-lagu baru dan aransemen yang berbeda dari versi aslinya. Banyak Singer VTuber yang memiliki kualitas vokal yang sangat baik sehingga layak diapresiasi sebagai musisi.,Akan menarik jika Singer VTuber lebih sering mengadakan live karaoke dengan variasi genre lagu yang lebih beragam.
resp_0012,2026-06-24 00:15:51,2026-06-24,2026-06,Perempuan,15–64 tahun,Pekerja,DKI Jakarta,12:00:00 PM,1:00:00 AM,13.0,Mantap,
resp_0013,2026-06-25 08:23:37,2026-06-25,2026-06,Laki-Laki,15–64 tahun,Pekerja,DKI Jakarta,8:00:00 PM,9:00:00 PM,1.0,Tidak Ada,Not yet
resp_0014,2026-06-28 21:37:46,2026-06-28,2026-06,Laki-Laki,15–64 tahun,Pekerja,Jawa Barat,11:00:00 PM,12:00:00 AM,1.0,ta lu poke,bagus
resp_0015,2026-07-13 12:28:40,2026-07-13,2026-07,Laki-Laki,15–64 tahun,Pelajar,Jawa Barat,7:00:00 PM,10:00:00 PM,3.0,Pesan yang ingin disampaikan ialah semoga semakin banyak pituber singer berkualitas diluar sana yang bisa saya oshikan 👍,Dirapihkan lagi sedikit lagi saja selebihnya sudah cukup meyakinkan
resp_0016,2026-07-15 11:37:10,2026-07-15,2026-07,Laki-Laki,15–64 tahun,Pelajar,Jawa Barat,7:00:00 PM,9:00:00 PM,2.0,unik dan menarik untuk ditonton,Perbanyak music video dari lagu ciptaan sendiri sehingga punya ciri khas tersendiri
resp_0017,2026-07-15 11:43:23,2026-07-15,2026-07,Laki-Laki,15–64 tahun,Tidak Bekerja,Jawa Barat,7:00:00 PM,10:00:00 PM,3.0,terus berkarya walau AI mulai menguasai dunia,"sering sering bikin lagu tema selain romance, bosen sumpah"
resp_0018,2026-07-15 11:50:42,2026-07-15,2026-07,Laki-Laki,15–64 tahun,Pekerja,Jawa Barat,8:00:00 PM,10:00:00 PM,2.0,Makasih ya udah jadi temen nyanyi aku (/thanks for doing karaoke with us),"Kalo nyanyi enaknya 3-4 jam, jadi... Semangat semangat ya, jaga kesehatan tenggorokan juga. (/Singing a song or doing karaoke will be likely 3-4 hours, soo.. keep your spirits up and keep them pipes o' yours healthy as a horse 🍎.)"
resp_0019,2026-07-15 12:31:28,2026-07-15,2026-07,Laki-Laki,15–64 tahun,Pekerja,DKI Jakarta,8:00:00 PM,10:00:00 PM,2.0,Boleh dikurangi sfx nya,Animasi movement dan psysical nya boleh di improve
resp_0020,2026-07-15 12:57:37,2026-07-15,2026-07,Laki-Laki,15–64 tahun,Pelajar,DKI Jakarta,7:00:00 PM,8:00:00 PM,1.0,"semoga para VTuber Singer terus menghasilkan karya yang menginspirasi, membangun komunitas yang positif, dan selalu menikmati setiap perjalanan dalam berkarya.",
resp_0021,2026-07-15 17:39:59,2026-07-15,2026-07,Laki-Laki,15–64 tahun,Pelajar,Sulawesi Tengah,7:00:00 PM,10:00:00 PM,3.0,Sebut namaku kak😘,Collab sama Sawano Hiroyuki
resp_0022,2026-07-15 21:50:23,2026-07-15,2026-07,Laki-Laki,15–64 tahun,Pekerja,DKI Jakarta,7:00:00 PM,10:00:00 PM,3.0,Suara nya jangan jangan pake voice changer,Tidak ada
resp_0023,2026-07-16 11:54:29,2026-07-16,2026-07,Laki-Laki,15–64 tahun,Tidak Bekerja,Jawa Barat,10:00:00 AM,11:30:00 PM,13.5,Berusaha dan pertahankan bakat kalian,Tidak ada
